,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_time,bcf,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,DayOfWeek,is_holiday
2308,1.0,2023-04-01 00:00:00,2023-04-01 00:07:54,1.0,1.4,1.0,N,164,234,1.0,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
1205,2.0,2023-04-01 00:00:00,2023-04-01 00:06:13,2.0,0.87,1.0,N,249,90,1.0,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
63,,2023-04-01 00:00:00,2023-04-01 00:43:12,,18.86,,,197,130,,62.25,,5.52,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:02,2023-03-31 23:59:19,2592.0,1.87,49.32,N,N, ,N,N,5,False
31133,,2023-04-01 00:00:00,2023-04-01 00:12:49,,2.17,,,189,188,,12.43,,1.1,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:39,2023-03-31 23:58:43,769.0,0.37,12.19,N,N, ,N,Y,5,False
30436,,2023-04-01 00:00:00,2023-04-01 00:34:09,,14.503,,,132,223,,44.2,,4.15,7.84,0.0,,,0.0,2.5,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:54:29,,2049.0,1.4,38.24,N,N,N,N,N,5,False
1222,2.0,2023-04-01 00:00:00,2023-04-01 00:09:34,5.0,1.62,1.0,N,249,231,1.0,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
21119,,2023-04-01 00:00:00,2023-04-01 00:12:20,,3.112,,,163,238,,18.25,,1.62,3.48,0.0,,,2.75,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:29,,740.0,0.55,11.02,N,N,N,N,N,5,False
20426,,2023-04-01 00:00:00,2023-04-01 00:32:31,,11.879,,,129,87,,39.54,,3.59,0.0,0.9,,,2.75,0.0,for-hire vehicle,,,HV0005,B03406,,2023-04-01 00:15:00,,1951.0,1.21,33.88,N,N,N,N,N,5,False
15821,,2023-04-01 00:00:00,2023-04-01 00:14:13,,2.88,,,247,243,,14.79,,1.31,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:25,2023-03-31 23:58:45,853.0,0.44,17.08,N,N, ,N,N,5,False
3952,2.0,2023-04-01 00:00:00,2023-04-01 00:19:45,2.0,13.16,1.0,N,134,226,1.0,49.9,1.0,0.5,15.72,0.0,1.0,68.12,0.0,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
