,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
2308,1,2023-04-01 00:00:00,2023-04-01 00:07:54,1,1.4,1,N,164,234,1,9.3,3.5,0.5,2.85,0.0,1.0,17.16,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
31133,,2023-04-01 00:00:00,2023-04-01 00:12:49,,,,,189,188,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:39,2023-03-31 23:58:43,2.17,769.0,12.43,0.0,0.37,1.1,0.0,0.0,12.19,N,N, ,N,Y
1222,2,2023-04-01 00:00:00,2023-04-01 00:09:34,5,1.62,1,N,249,231,1,11.4,1.0,0.5,3.28,0.0,1.0,19.69,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
1205,2,2023-04-01 00:00:00,2023-04-01 00:06:13,2,0.87,1,N,249,90,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
3952,2,2023-04-01 00:00:00,2023-04-01 00:19:45,2,13.16,1,N,134,226,1,49.9,1.0,0.5,15.72,0.0,1.0,68.1,0.0,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
15821,,2023-04-01 00:00:00,2023-04-01 00:14:13,,,,,247,243,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:25,2023-03-31 23:58:45,2.88,853.0,14.79,0.0,0.44,1.31,0.0,0.0,17.08,N,N, ,N,N
41,2,2023-04-01 00:00:00,2023-04-01 00:09:06,1,0.91,1,N,158,249,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
21119,,2023-04-01 00:00:00,2023-04-01 00:12:20,,,,,163,238,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:29,,3.111,740.0,18.25,0.0,0.55,1.62,0.0,3.48,11.02,N,N,N,N,N
63,,2023-04-01 00:00:00,2023-04-01 00:43:12,,,,,197,130,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:02,2023-03-31 23:59:19,18.86,2592.0,62.25,0.0,1.87,5.52,0.0,0.0,49.3,N,N, ,N,N
20426,,2023-04-01 00:00:00,2023-04-01 00:32:31,,,,,129,87,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-04-01 00:15:00,,11.88,1951.0,39.53,0.9,1.21,3.59,0.0,0.0,33.88,N,N,N,N,N
12377,,2023-04-01 00:00:00,2023-04-01 00:19:52,,,,,189,225,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:44,2023-03-31 23:58:16,3.27,1192.0,19.66,0.0,0.59,1.74,0.0,5.0,20.33,N,N, ,N,N
11338,,2023-04-01 00:00:00,2023-04-01 00:09:56,,,,,249,90,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:55:47,,1.268,596.0,16.1,0.0,0.48,1.43,0.0,2.0,7.25,N,N,N,N,N
30436,,2023-04-01 00:00:00,2023-04-01 00:34:09,,,,,132,223,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:54:29,,14.5,2049.0,44.2,0.0,1.4,4.15,2.5,7.84,38.25,N,N,N,N,N
12267,,2023-04-01 00:00:01,2023-04-01 00:20:07,,,,,232,158,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:51:37,,2.615,1206.0,31.77,0.0,0.95,2.82,0.0,7.66,23.25,N,N,N,N,N
293,2,2023-04-01 00:00:01,2023-04-01 00:15:31,1,3.33,1,N,263,107,1,17.7,1.0,0.5,2.0,0.0,1.0,24.7,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
19,2,2023-04-01 00:00:01,2023-04-01 00:00:31,1,0.0,1,N,95,95,2,3.0,1.0,0.5,0.0,0.0,1.0,5.5,0.0,,green_taxi,,1,,,,,,,,,,,,,,,,,,,
32416,,2023-04-01 00:00:01,2023-04-01 00:09:33,,,,,10,215,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:46,,1.964,572.0,11.31,0.0,0.34,1.0,0.0,0.0,7.94,N,N,N,N,N
5925,,2023-04-01 00:00:01,2023-04-01 00:04:42,,,,,28,130,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:41,2023-03-31 23:59:44,1.23,281.0,6.29,0.0,0.19,0.56,0.0,0.0,5.4,N,N, ,N,N
5246,,2023-04-01 00:00:01,2023-04-01 00:22:26,,,,,107,141,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:11,2023-03-31 23:58:29,3.21,1345.0,18.89,0.0,0.57,1.68,0.0,0.0,18.11,N,N, ,N,N
