,VendorID,PUDatetime,DODatetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,type,airport_fee,Airport_fee
2995098,2,2023-01-01 00:00:00,2023-01-01 00:08:00,,,42,41,,1.53,12.98,0.0,0.5,0.0,0.0,,1.0,14.48,0.0,,,yellow_taxi,,
3497,2,2023-01-01 00:00:05,2023-01-01 00:26:27,N,1.0,249,186,1.0,1.32,21.9,1.0,0.5,0.0,0.0,,1.0,26.9,2.0,,2.5,yellow_taxi,0.0,
2506,2,2023-01-01 00:00:06,2023-01-01 00:05:44,N,1.0,125,68,1.0,1.7,9.3,1.0,0.5,0.0,0.0,,1.0,14.3,2.0,,2.5,yellow_taxi,0.0,
3499,2,2023-01-01 00:00:08,2023-01-01 00:11:24,N,1.0,42,244,1.0,3.1,16.3,1.0,0.5,0.0,0.0,,1.0,18.8,2.0,,0.0,yellow_taxi,0.0,
4475,2,2023-01-01 00:00:09,2023-01-01 00:15:10,N,1.0,79,231,1.0,3.8,19.8,1.0,0.5,7.44,0.0,,1.0,32.24,1.0,,2.5,yellow_taxi,0.0,
3176,2,2023-01-01 00:00:13,2023-01-01 00:12:52,N,1.0,132,7,1.0,8.97,34.5,1.0,0.5,25.0,0.0,,1.0,63.25,1.0,,0.0,yellow_taxi,1.25,
2312,1,2023-01-01 00:00:18,2023-01-01 00:09:34,N,1.0,238,262,1.0,2.1,11.4,3.5,0.5,4.9,0.0,,1.0,21.3,1.0,,2.5,yellow_taxi,0.0,
4243,1,2023-01-01 00:00:22,2023-01-01 00:26:23,N,1.0,136,233,1.0,0.0,29.2,0.0,0.5,0.0,0.0,,1.0,30.7,1.0,,0.0,yellow_taxi,0.0,
2918,2,2023-01-01 00:00:35,2023-01-01 00:25:12,N,1.0,132,17,1.0,17.51,66.0,1.0,0.5,0.0,0.0,,1.0,69.75,2.0,,0.0,yellow_taxi,1.25,
865,2,2023-01-01 00:00:47,2023-01-01 00:04:32,N,1.0,79,107,3.0,0.95,6.5,1.0,0.5,5.0,0.0,,1.0,16.5,1.0,,2.5,yellow_taxi,0.0,
4305,2,2023-01-01 00:00:52,2023-01-01 00:19:17,N,1.0,162,42,1.0,5.07,23.3,1.0,0.5,0.0,0.0,,1.0,28.3,2.0,,2.5,yellow_taxi,0.0,
4508,2,2023-01-01 00:00:57,2023-01-01 00:15:11,N,1.0,138,97,1.0,9.98,38.0,6.0,0.5,5.0,0.0,,1.0,51.75,1.0,,0.0,yellow_taxi,1.25,
890,2,2023-01-01 00:01:07,2023-01-01 00:22:01,N,1.0,141,68,1.0,3.87,21.9,1.0,0.5,5.38,0.0,,1.0,32.28,1.0,,2.5,yellow_taxi,0.0,
203,1,2023-01-01 00:01:08,2023-01-01 00:17:14,N,1.0,170,113,6.0,2.1,14.2,3.5,0.5,0.01,0.0,,1.0,19.21,1.0,,2.5,yellow_taxi,0.0,
1106,2,2023-01-01 00:01:18,2023-01-01 00:17:01,N,1.0,234,112,1.0,4.38,21.2,1.0,0.5,6.55,6.55,,1.0,39.3,1.0,,2.5,yellow_taxi,0.0,
4081,2,2023-01-01 00:01:21,2023-01-01 00:27:12,N,1.0,170,68,1.0,1.68,21.9,1.0,0.5,5.38,0.0,,1.0,32.28,1.0,,2.5,yellow_taxi,0.0,
4667,2,2023-01-01 00:01:24,2023-01-01 00:21:30,N,1.0,263,114,1.0,5.35,26.1,1.0,0.5,0.0,0.0,,1.0,31.1,1.0,,2.5,yellow_taxi,0.0,
4253,2,2023-01-01 00:01:27,2023-01-01 00:29:58,N,1.0,116,148,1.0,10.58,45.0,1.0,0.5,10.0,0.0,,1.0,60.0,1.0,,2.5,yellow_taxi,0.0,
24,2,2023-01-01 00:01:31,2023-01-01 00:16:02,N,1.0,166,244,1.0,2.48,16.3,1.0,0.5,3.76,0.0,,1.0,22.56,1.0,1.0,0.0,green_taxi,,
610,1,2023-01-01 00:01:34,2023-01-01 00:07:24,N,1.0,263,229,2.0,1.6,8.6,3.5,0.5,3.4,0.0,,1.0,17.0,1.0,,2.5,yellow_taxi,0.0,
4839,1,2023-01-01 00:01:39,2023-01-01 00:10:30,N,1.0,211,209,1.0,1.4,9.3,3.5,0.5,2.85,0.0,,1.0,17.15,1.0,,2.5,yellow_taxi,0.0,
1501,2,2023-01-01 00:01:39,2023-01-01 00:20:56,N,1.0,114,263,1.0,4.78,23.3,1.0,0.5,5.66,0.0,,1.0,33.96,1.0,,2.5,yellow_taxi,0.0,
326,1,2023-01-01 00:01:52,2023-01-01 00:11:25,N,1.0,234,231,1.0,1.9,10.7,3.5,0.5,3.0,0.0,,1.0,18.7,1.0,,2.5,yellow_taxi,0.0,
3364,1,2023-01-01 00:01:54,2023-01-01 00:10:26,N,1.0,79,45,1.0,1.4,10.7,3.5,0.5,0.0,0.0,,1.0,15.7,2.0,,2.5,yellow_taxi,0.0,
685,2,2023-01-01 00:01:55,2023-01-01 00:36:32,N,2.0,132,211,2.0,21.4,70.0,0.0,0.5,11.29,0.0,,1.0,86.54,1.0,,2.5,yellow_taxi,1.25,
1724,2,2023-01-01 00:01:58,2023-01-01 00:10:57,N,1.0,114,224,1.0,1.76,11.4,1.0,0.5,3.28,0.0,,1.0,19.68,1.0,,2.5,yellow_taxi,0.0,
1302,2,2023-01-01 00:01:58,2023-01-01 00:40:09,N,2.0,132,249,1.0,19.41,70.0,0.0,0.5,16.11,6.55,,1.0,96.66,1.0,,2.5,yellow_taxi,0.0,
4752,2,2023-01-01 00:01:58,2023-01-01 00:17:43,N,1.0,144,33,1.0,3.12,18.4,1.0,0.5,4.68,0.0,,1.0,28.08,1.0,,2.5,yellow_taxi,0.0,
3471,2,2023-01-01 00:02:07,2023-01-01 00:07:02,N,1.0,158,246,1.0,0.98,7.2,1.0,0.5,2.44,0.0,,1.0,14.64,1.0,,2.5,yellow_taxi,0.0,
2552,2,2023-01-01 00:02:11,2023-01-01 00:13:55,N,1.0,114,107,1.0,1.73,12.1,1.0,0.5,3.42,0.0,,1.0,20.52,1.0,,2.5,yellow_taxi,0.0,
4875,2,2023-01-01 00:02:13,2023-01-01 00:21:35,N,1.0,264,243,1.0,12.07,46.4,6.0,0.5,5.0,6.55,,1.0,66.7,1.0,,0.0,yellow_taxi,1.25,
3861,2,2023-01-01 00:02:17,2023-01-01 00:30:09,N,2.0,132,42,3.0,19.93,70.0,0.0,0.5,14.3,0.0,,1.0,87.05,1.0,,0.0,yellow_taxi,1.25,
169,2,2023-01-01 00:02:19,2023-01-01 00:30:49,N,2.0,132,140,1.0,20.37,70.0,0.0,0.5,12.0,6.55,,1.0,92.55,1.0,,2.5,yellow_taxi,0.0,
883,2,2023-01-01 00:02:19,2023-01-01 00:44:02,N,1.0,162,37,1.0,7.49,41.5,1.0,0.5,0.0,0.0,,1.0,46.5,2.0,,2.5,yellow_taxi,0.0,
665,2,2023-01-01 00:02:20,2023-01-01 00:07:36,N,1.0,236,239,1.0,1.28,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
3029,2,2023-01-01 00:02:22,2023-01-01 00:11:59,N,1.0,125,68,2.0,1.78,11.4,1.0,0.5,3.28,0.0,,1.0,19.68,1.0,,2.5,yellow_taxi,0.0,
2995276,1,2023-01-01 00:02:29,2023-01-01 00:29:57,,,132,141,,20.2,70.0,1.25,0.5,8.18,6.55,,1.0,89.98,0.0,,,yellow_taxi,,
2995133,2,2023-01-01 00:02:33,2023-01-01 00:12:15,,,163,137,,1.83,13.52,0.0,0.5,2.0,0.0,,1.0,19.52,0.0,,,yellow_taxi,,
4139,2,2023-01-01 00:02:35,2023-01-01 00:17:08,N,1.0,138,41,1.0,6.64,28.2,6.0,0.5,6.52,6.55,,1.0,50.02,1.0,,0.0,yellow_taxi,1.25,
2995023,1,2023-01-01 00:02:40,2023-01-01 00:30:36,,,142,79,,0.0,20.13,0.0,0.5,0.0,0.0,,1.0,24.13,0.0,,,yellow_taxi,,
2897,1,2023-01-01 00:02:41,2023-01-01 00:10:58,N,1.0,233,170,1.0,0.5,7.9,3.5,0.5,2.6,0.0,,1.0,15.5,1.0,,2.5,yellow_taxi,0.0,
954,1,2023-01-01 00:02:42,2023-01-01 00:09:32,N,1.0,79,137,1.0,1.3,8.6,3.5,0.5,3.4,0.0,,1.0,17.0,1.0,,2.5,yellow_taxi,0.0,
976,1,2023-01-01 00:02:43,2023-01-01 00:08:33,N,1.0,238,24,1.0,0.9,6.5,3.5,0.5,5.0,0.0,,1.0,16.5,1.0,,2.5,yellow_taxi,0.0,
1541,2,2023-01-01 00:02:47,2023-01-01 00:24:12,N,1.0,236,126,1.0,6.03,27.5,1.0,0.5,0.0,0.0,,1.0,32.5,2.0,,2.5,yellow_taxi,0.0,
4487,1,2023-01-01 00:02:47,2023-01-01 00:24:21,N,1.0,138,144,1.0,9.1,38.0,9.75,0.5,9.85,0.0,,1.0,59.1,1.0,,2.5,yellow_taxi,1.25,
1274,2,2023-01-01 00:02:48,2023-01-01 00:14:13,N,1.0,79,144,1.0,1.38,11.4,1.0,0.5,3.28,0.0,,1.0,19.68,1.0,,2.5,yellow_taxi,0.0,
4351,2,2023-01-01 00:02:49,2023-01-01 00:38:56,N,1.0,246,14,2.0,13.4,56.9,1.0,0.5,0.0,0.0,,1.0,61.9,2.0,,2.5,yellow_taxi,0.0,
708,2,2023-01-01 00:02:49,2023-01-01 00:32:19,N,1.0,132,198,2.0,14.53,57.6,1.0,0.5,12.27,0.0,,1.0,73.62,1.0,,0.0,yellow_taxi,1.25,
4231,2,2023-01-01 00:02:50,2023-01-01 00:18:28,N,1.0,148,237,3.0,4.27,19.8,1.0,0.5,4.96,0.0,,1.0,29.76,1.0,,2.5,yellow_taxi,0.0,
3964,2,2023-01-01 00:02:53,2023-01-01 00:27:06,N,1.0,132,91,3.0,13.94,54.1,1.0,0.5,7.0,0.0,,1.0,64.85,1.0,,0.0,yellow_taxi,1.25,
3481,2,2023-01-01 00:02:59,2023-01-01 00:15:36,N,1.0,148,233,1.0,3.6,18.4,1.0,0.5,0.0,0.0,,1.0,23.4,1.0,,2.5,yellow_taxi,0.0,
